0.00, 0, 8889
0.00, 1, 8849
0.00, 2, 8871
0.00, 3, 8905
0.00, 4, 8903
0.00, 5, 8928
0.00, 6, 8967
0.00, 7, 8903
0.00, 8, 8908
0.00, 9, 8902
0.00, 10, 8935
0.00, 11, 8896
0.00, 12, 8888
0.00, 13, 9000
0.00, 14, 8925
0.00, 15, 8923
0.00, 16, 9132
0.00, 17, 8976
0.00, 18, 8965
0.00, 19, 8941
0.00, 20, 8970
0.00, 21, 8960
0.00, 22, 8894
0.00, 23, 8946
0.00, 24, 8923
0.00, 25, 8854
0.00, 26, 8898
0.00, 27, 8911
0.00, 28, 8934
0.00, 29, 8886
0.01, 0, 8937
0.01, 1, 8860
0.01, 2, 8793
0.01, 3, 8898
0.01, 4, 8886
0.01, 5, 8897
0.01, 6, 8923
0.01, 7, 8913
0.01, 8, 8905
0.01, 9, 8897
0.01, 10, 8861
0.01, 11, 8867
0.01, 12, 8942
0.01, 13, 8954
0.01, 14, 8830
0.01, 15, 8892
0.01, 16, 8793
0.01, 17, 8917
0.01, 18, 8936
0.01, 19, 8963
0.01, 20, 8871
0.01, 21, 8867
0.01, 22, 8936
0.01, 23, 8912
0.01, 24, 8911
0.01, 25, 8922
0.01, 26, 8904
0.01, 27, 8858
0.01, 28, 8872
0.01, 29, 8892
0.02, 0, 8863
0.02, 1, 8803
0.02, 2, 8858
0.02, 3, 8828
0.02, 4, 8839
0.02, 5, 8850
0.02, 6, 8920
0.02, 7, 8863
0.02, 8, 8847
0.02, 9, 8891
0.02, 10, 8862
0.02, 11, 8945
0.02, 12, 8801
0.02, 13, 8884
0.02, 14, 8908
0.02, 15, 8927
0.02, 16, 8901
0.02, 17, 8889
0.02, 18, 8877
0.02, 19, 8910
0.02, 20, 8916
0.02, 21, 8882
0.02, 22, 8906
0.02, 23, 8888
0.02, 24, 8892
0.02, 25, 8892
0.02, 26, 8889
0.02, 27, 8895
0.02, 28, 8863
0.02, 29, 8889
0.03, 0, 8878
0.03, 1, 8811
0.03, 2, 8810
0.03, 3, 8826
0.03, 4, 8809
0.03, 5, 8869
0.03, 6, 8882
0.03, 7, 8881
0.03, 8, 8895
0.03, 9, 8873
0.03, 10, 8869
0.03, 11, 8914
0.03, 12, 8860
0.03, 13, 8841
0.03, 14, 8879
0.03, 15, 8856
0.03, 16, 8943
0.03, 17, 8935
0.03, 18, 8901
0.03, 19, 8938
0.03, 20, 8921
0.03, 21, 8907
0.03, 22, 8891
0.03, 23, 8862
0.03, 24, 8923
0.03, 25, 8890
0.03, 26, 8889
0.03, 27, 8927
0.03, 28, 8875
0.03, 29, 8889
0.04, 0, 8887
0.04, 1, 8819
0.04, 2, 8871
0.04, 3, 8866
0.04, 4, 8891
0.04, 5, 8867
0.04, 6, 8809
0.04, 7, 8875
0.04, 8, 8866
0.04, 9, 8848
0.04, 10, 8871
0.04, 11, 8884
0.04, 12, 8867
0.04, 13, 8846
0.04, 14, 8908
0.04, 15, 8839
0.04, 16, 9105
0.04, 17, 8929
0.04, 18, 8892
0.04, 19, 8868
0.04, 20, 8869
0.04, 21, 9145
0.04, 22, 8853
0.04, 23, 8905
0.04, 24, 8861
0.04, 25, 8864
0.04, 26, 8862
0.04, 27, 8910
0.04, 28, 8859
0.04, 29, 8849
0.05, 0, 8908
0.05, 1, 8827
0.05, 2, 8809
0.05, 3, 8871
0.05, 4, 8840
0.05, 5, 8838
0.05, 6, 8837
0.05, 7, 8877
0.05, 8, 8872
0.05, 9, 8865
0.05, 10, 8917
0.05, 11, 8798
0.05, 12, 8857
0.05, 13, 8876
0.05, 14, 8857
0.05, 15, 8862
0.05, 16, 8889
0.05, 17, 8887
0.05, 18, 8912
0.05, 19, 8815
0.05, 20, 8859
0.05, 21, 8909
0.05, 22, 8892
0.05, 23, 8939
0.05, 24, 8881
0.05, 25, 8875
0.05, 26, 8884
0.05, 27, 8878
0.05, 28, 8916
0.05, 29, 8912
0.06, 0, 8944
0.06, 1, 8858
0.06, 2, 8849
0.06, 3, 8888
0.06, 4, 8850
0.06, 5, 8822
0.06, 6, 8894
0.06, 7, 8896
0.06, 8, 8864
0.06, 9, 8818
0.06, 10, 8872
0.06, 11, 8862
